Application,Launcher,Path,Icon Name
eToys,etoys,/usr/share/pixmaps/activity-etoys.xpm,activity-etoys
Excellent Bifurcation,excellent-bifurcation,/usr/share/pixmaps/excellent-bifurcation.xpm,excellent-bifurcation
expEYES,expeyes,/usr/share/icons/expeyes.png,expeyes
FadeIn,fadein,/usr/share/fadein/icon_app/fadein_icon_128x128.png,fadein
Fax address book,hp-fab,/usr/share/pixmaps/HPmenu.xpm,HPmenu
Fax address book,hp-fab,/usr/share/hplip/data/images/128x128/hp_logo.png,hp_logo
FCEUX,fceux,/usr/share/pixmaps/fceux.png,fceux
FGo!,fgo,/usr/share/pixmaps/fgo.png,fgo
FGo!,fgo,,fgo
FileBot,FileBot,/usr/share/filebot/icon.svg,filebot
Firewall Builder,fwbuilder,/usr/share/pixmaps/fwbuilder/firewall_64.xpm,firewall_64
Firewall Configuration,gufw,/usr/share/icons/hicolor/48x48/apps/gufw.png,gufw
Firewall Configuration,gufw,gufw.png,gufw
Fistful of Frags,Fistful of Frags,steam,steam_icon_265630
FlameRobin,flamerobin,/usr/share/pixmaps/flamerobin.png,flamerobin
fldiff,fldiff,/usr/share/pixmaps/fldiff.xpm,fldiff
FlightGear Launch Control,fgrun,/usr/share/pixmaps/flightgear.ico,flightgear
FlightGear Launcher,fgrun,/usr/share/pixmaps/flightgear.ico,flightgear
Florence Virtual Keyboard,florence,/usr/share/pixmaps/florence.svg,florence
FLUID,x-fluid,fluid.png,fluid
FMIT,fmit,/usr/share/icons/hicolor/scalable/apps/fmit.svg,fmit
Foo YC20,foo-yc20,/usr/share/foo-yc20/graphics/icon.png,foo-yc20
Format Junkie,formatjunkie,/opt/extras.ubuntu.com/formatjunkie/pixmap/fjt.png,fjt
Fotoxx,fotoxx,/usr/share/fotoxx/icons/fotoxx.png,fotoxx
fotoxx,kornelix-fotoxx,/usr/share/fotoxx/icons/fotoxx.png,fotoxx
Fox,fox,/usr/share/pixmaps/fox.xpm,fox
FoxitReader,FoxitReader,/home/root/.local/share/icons/hicolor/64x64/apps/FoxitReader.png,foxit-reader
FoxitReader,FoxitReader,FoxitReader.png,foxit-reader
fprint-demo,fprint-demo,/usr/share/pixmaps/fprint-demo.xpm,fprint-demo
FQTerm,fqterm,/usr/share/FQTerm/pic/fqterm_256x256.png,fqterm
Franz,franz,/opt/franz/franz-icon.png,franz
Free Chart Geany,freechartgeany,/usr/share/pixmaps/freechartgeany.png,freechartgeany
Freebirth,freebirth,/usr/share/pixmaps/freebirth.xpm,freebirth
FreeCAD,freecad,/opt/freecad/data/freecad.xpm,freecad
FreeCAD,freecad,/usr/share/freecad/freecad.xpm,freecad
FreeCol,freecol,/usr/share/pixmaps/freecol.xpm,freecol
FreeCraft,freecraft,/usr/share/pixmaps/freecraft-icon.png,freecraft-icon
Freedroid RPG,freedroidrpg,/usr/share/pixmaps/freedroidrpg.xpm,freedroidrpg
Freedroid RPG,freedroidrpg,/usr/share/icons/freedroidrpg.jpg,freedroid
FreeMat,freemat,/usr/share/pixmaps/freemat/freemat.xpm,freemat
FreePOPs updater,freepops-updater-zenity,/usr/share/pixmaps/freepops-updater-zenity.svg,freepops-updater-zenity
FreePOPs updater,freepops-updater-gnome,/usr/share/pixmaps/freepops-updater-zenity.svg,freepops-updater-zenity
Freevo,freevo,/usr/share/pixmaps/freevo.xpm,freevo
FreeWheeling,freewheeling,/usr/share/pixmaps/freewheeling.xpm,freewheeling
Fritzing,fritzing,/usr/share/pixmaps/fritzing_icon.png,fritzing_icon
FSL 4.1,fsl-4.1,fsl-4.1.xpm,fsl-4.1
FSL 5.0,fsl-5.0-core,fsl-5.0.xpm,fsl-5.0
FSLView,fslview,fslview.xpm,fslview
FTP,FTP,/usr/share/pixmaps/FTP.xpm,FTP
Full Kana+ Drill,kanadic-kata,/usr/share/pixmaps/kdrill.xpm,kdrill
Fyre,fyre,/usr/share/pixmaps/fyre.png,fyre
